"regions";"2020-03-13";"2020-03-14";"2020-03-15";"2020-03-16";"2020-03-17";"2020-03-18";"2020-03-19";"2020-03-20";"2020-03-21";"2020-03-22";"2020-03-23";"2020-03-24";"2020-03-25";"2020-03-26";"2020-03-27";"2020-03-28";"2020-03-29";"2020-03-30";"2020-03-31";"2020-04-01";"2020-04-02";"2020-04-03";"2020-04-04";"2020-04-05";"2020-04-06";"2020-04-07";"2020-04-08";"2020-04-09";"2020-04-10";"2020-04-11";"2020-04-12";"2020-04-13";"2020-04-14";"2020-04-15";"2020-04-16";"2020-04-17";"2020-04-18";"2020-04-19";"2020-04-20";"2020-04-21";"2020-04-22";"2020-04-23";"2020-04-24";"2020-04-25";"2020-04-26";"2020-04-27";"2020-04-28";"2020-04-29";"2020-04-30";"2020-05-01";"2020-05-02";"2020-05-03";"2020-05-04";"2020-05-05";"2020-05-06";"2020-05-07";"2020-05-08";"2020-05-09";"2020-05-10";"2020-05-11";"2020-05-12";"2020-05-13";"2020-05-14";"2020-05-15";"2020-05-16";"2020-05-17";"2020-05-18";"2020-05-19";"2020-05-20";"2020-05-21";"2020-05-22";"2020-05-23";"2020-05-24";"2020-05-25";"2020-05-26";"2020-05-27";"2020-05-28";"2020-05-29";"2020-05-30";"2020-05-31";"2020-06-01";"2020-06-02";"2020-06-03";"2020-06-04";"2020-06-05";"2020-06-06";"2020-06-07";"2020-06-08";"2020-06-09";"2020-06-10";"2020-06-11";"2020-06-12";"2020-06-13";"2020-06-14";"2020-06-15";"2020-06-16";"2020-06-17";"2020-06-18";"2020-06-19";"2020-06-20";"2020-06-21";"2020-06-22";"2020-06-23";"2020-06-24";"2020-06-25";"2020-06-26";"2020-06-27";"2020-06-28";"2020-06-29"
"1 WRO";1.41265353006505;1.5669770249461;1.51601842250883;1.97886812864622;2.08819607773538;1.82905944989308;1.96205055248209;1.79479992573614;1.62126368217738;1.64383823977732;1.78303945274992;1.97048668153679;1.89187454918421;1.79193270941335;1.84376820815576;1.73411485554091;1.66849354726116;1.66734598684596;1.57478137132414;1.69622806873574;1.52466225813795;1.57184341322233;1.49176212774869;1.51710129281062;1.47052854109372;1.44571900093562;1.37724119451827;1.35511318351476;1.42299307859208;1.38140097658728;1.3894238728389;1.36036753262055;1.33563027806864;1.34071629225435;1.37913813347472;1.42370518911221;1.45001158325858;1.50640151969851;1.50415321895015;1.51952439621599;1.50672657223514;1.54410090046743;1.5180587433878;1.51755461431812;1.54500245101594;1.58769442837637;1.60011395372181;1.60890845786017;1.61590322021044;1.60506617876167;1.61249938897748;1.59936724465684;1.63780653485691;1.63417978701527;1.61775129577684;1.6170401886824;1.62026689057578;1.61884577687416;1.66637043446266;1.65063424604636;1.62151488052406;1.62523082144959;1.60621150334281;1.58228667057675;1.5752604148616;1.55644706113082;1.56942503756253;1.55965698278659;1.5352595743981;1.51702919464893;1.52787290313717;1.52624325987846;1.51224913044933;1.51119209225349;1.49051661103405;1.48835272715665;1.4759024500177;1.4696330773565;1.45782310186102;1.45168160726008;1.44869687178677;1.4396003536021;1.42797355672241;1.4132494504916;1.40360385978917;1.38275265088857;1.35684182649672;1.33477354375423;1.32120623775695;1.30926460478103;1.2973256778326;1.28072925437767;1.26911698072644;1.25293146624636;1.23628177293651;1.22447476364221;1.21991352700725;1.21271977388465;1.20463107204995;1.19834638473717;1.18752835559408;1.17829061632981;1.17152980925338;1.16565187249938;1.15776390643763;1.15506705038962;1.14652272061549;1.14059044472564;1.13352471933442
"2 BYD";0;0;0;0;0.62793825900938;0.521807849035963;0.577240694188509;0.613093382909867;0.624410515981237;0.527587366351235;0.520760042110188;0.453316941153601;0.476790108008552;0.471082475688333;0.44073388258517;0.418945360457664;0.468084083933605;0.649654584576679;0.60971744335168;0.6097300179566;0.987872298438159;1.09030214419242;1.14466648704386;1.08886025668956;1.02888772772394;1.00915872083472;0.986199785411329;0.930696217372596;0.902404133348773;0.912506753944461;0.932872305650625;0.921933299346215;0.905626511326861;0.877332471245229;0.860553615337348;0.859060171837098;0.846649414220157;0.815529877266899;0.818501176297963;0.828678403090613;0.828674658118673;0.815730631318905;0.805845399446368;0.783410124529636;0.766495618965656;0.755865361450971;0.789560152713102;0.791052400007721;0.782691509171458;0.777554625080301;0.767396617586951;0.753631400402646;0.736787168159999;0.721170313495887;0.705934665951751;0.697862427494649;0.688447409781535;0.677093116654372;0.664804210316733;0.654769117601578;0.633202077945981;0.621349324248817;0.60790184831482;0.597454634744713;0.590581866279487;0.581911370914451;0.570940632787801;0.560552068284689;0.548113711618462;0.539878499684024;0.530109395065153;0.524027034708262;0.516010801107694;0.508731892950269;0.498521299049536;0.490493804960266;0.482928900287523;0.475984033998192;0.467583840627106;0.463279655805226;0.455996288579791;0.452346067517635;0.447748275174853;0.444255042422458;0.439386347273556;0.429651500899621;0.420354484641868;0.411769612064961;0.406467723693236;0.404347692022411;0.400515683226661;0.396544031905815;0.393086018902423;0.395632709373139;0.390375308268717;0.385728750456799;0.381183241655679;0.38402910968595;0.381491309676796;0.380693888156885;0.378729924692634;0.375257490740551;0.37180250525006;0.369086116983292;0.370293678621369;0.367138898685727;0.366413530308218;0.365902969324733;0.363261649705151
"3 LUB";1.88419570001693;2.61254025632599;2.45536303765272;1.82728529928172;1.65608484045071;1.37618317727595;1.25816386281988;1.1759519262517;1.03131738957588;1.09627480376211;1.14154369433039;1.06710209357387;1.01612623887608;1.0784497596253;0.99905649023454;0.944730327409815;1.00287835646062;0.986478912179206;1.01559815248082;0.925854783629008;0.911194407335438;0.830202085594986;0.808626253130418;0.753940885679248;0.7289763199923;0.70386557132877;0.682885786777504;0.653486653026814;0.662504749025654;0.629081931409942;0.623062658253286;0.615070066117141;0.604512787088765;0.632799988207721;0.627406503076162;0.617367212159959;0.597752090802011;0.593331632275988;0.579869871334825;0.589696043966954;0.583736231460962;0.571427529930464;0.561164091633115;0.548428329325821;0.539786278029682;0.529791470075603;0.520401337325267;0.507175608249942;0.496737751261051;0.494873305059995;0.487538732048691;0.485297814614584;0.474451041123127;0.463549127506891;0.458583249938616;0.450517125671551;0.444016214352931;0.438200246968143;0.430969501831343;0.426610347173644;0.416768270274564;0.411032377032942;0.40345821252522;0.395463238089803;0.390242386795383;0.385472016229975;0.384790391404642;0.377140919801404;0.369941100895774;0.367812876760736;0.36190595004448;0.357393809232573;0.362181924298632;0.366328174644481;0.361390354775939;0.372366335853362;0.379077610868385;0.374393400699265;0.367786084617011;0.369627611398987;0.365286543803704;0.361754457748979;0.363231840974269;0.358708240780785;0.354299181327571;0.348499484919553;0.344969753185438;0.338018788647861;0.335692282754669;0.33293146025184;0.329954398374536;0.326857672140572;0.325575308528882;0.329277451705351;0.325497968580106;0.326405367212047;0.327390516672011;0.327628855461877;0.332447579927022;0.332008777847205;0.334889960830283;0.334570884517228;0.333671358050769;0.33288947574674;0.332626857853089;0.331386189634176;0.333516435790253;0.336792354739558;0.339033923318524
"4 GOR";0.575875407461065;0.372625263651277;0.61801263239724;0.434374593056346;0.322099804173138;0.401490600976376;0.969036804622868;0.808676104094261;0.640580509422982;0.661527762368249;0.814088929422871;0.887834610390474;0.833344965229644;0.935384172906405;0.849488885122811;0.766660536338753;0.67433152551086;0.666478308878466;0.691349774569975;0.69998648665526;0.619692014550494;0.562078924762353;0.587154622338233;0.546941179671558;0.534228557544928;0.486273662263862;0.482128248106938;0.470578971034934;0.472463546117897;0.454609858958876;0.444335521224455;0.427669734219498;0.417029774236388;0.396123268403957;0.389699990922386;0.368919104647915;0.35354041436459;0.333835385847631;0.327103033708993;0.326080406389965;0.319740799273216;0.309272547947212;0.29838930782826;0.288245988209901;0.286242779574224;0.279350898846113;0.272087269780419;0.262956388838285;0.256829249680888;0.25236026785022;0.247265130459989;0.24429803276122;0.244265918331814;0.237383755747309;0.232368719537988;0.232741977775798;0.227591478397786;0.223446576401277;0.218626702144778;0.214207024877701;0.207151390645947;0.20327377479965;0.198530373820677;0.19411099556476;0.191548368890911;0.188736194424547;0.185177962935105;0.181496702694051;0.177165500030581;0.179273065129878;0.178821087382536;0.179804554515726;0.183897079101856;0.189784081759789;0.191140958456858;0.187747017714377;0.188182043940088;0.187117229475603;0.187039798045219;0.185318066475638;0.185549529324677;0.186869882701341;0.187738320615268;0.185033869947187;0.185389203629193;0.181281803779574;0.180219767750958;0.176246867674305;0.177825446798328;0.176025103005798;0.173785248613175;0.172829094967153;0.171518783730351;0.170623947415345;0.169632024385679;0.167346453692628;0.17325200289585;0.171559477848215;0.169634301356167;0.171579129829767;0.171099158200261;0.170707708134134;0.169136006917579;0.167643963296295;0.167308934371358;0.167019705942462;0.167692954220251;0.166710590431914;0.165507167693606
"5 LOD";1.17230111332301;2.27564333762702;2.3903505627757;2.74117494612444;2.75391414078931;2.28846386347281;2.10416426459337;2.08519942710221;2.63701890884569;2.59538562936955;2.29940507528899;2.22046088516844;2.12422302784021;2.00570238059596;1.8743294512654;1.72147689159364;1.58071569473877;1.52256390090817;1.39396705792103;1.34006144505717;1.24047297154343;1.13506208949252;1.10561739206309;1.2304015002077;1.19276522253314;1.14317501880298;1.18965017842504;1.1995208807847;1.20353359384931;1.19820465067122;1.22691010403356;1.23000295115709;1.21860700729927;1.16772326200977;1.1556811481721;1.12557764414491;1.13729901301709;1.10746988714705;1.10763261362081;1.09842614785265;1.17160497251938;1.15694874951844;1.16197161057885;1.15422709187563;1.14530733768728;1.16348681923788;1.15106020941832;1.15181031533427;1.14660609396924;1.1479120968007;1.1640784374515;1.18564159345271;1.18013654492877;1.15010793194102;1.15419220270759;1.17005389074156;1.15826157903172;1.15298874658937;1.13972823507112;1.12616743069628;1.1009907588704;1.09027683591366;1.07098522422403;1.05401675096174;1.04603551764973;1.0356897837141;1.02517834795983;1.00961740852801;0.998068550835211;0.982658519239846;0.987742013860246;0.979025760850748;0.979142367311559;0.974437021395646;0.970303306409724;0.972356240067625;0.988548319965357;0.994380270661827;0.99980793576279;1.01011743527705;1.03072869390346;1.0258343203961;1.04753854372583;1.10160752024824;1.11452993738205;1.12674018383222;1.17165701607187;1.18967940304944;1.1976757435432;1.20666122780987;1.23134623018517;1.26386599443289;1.26443269759857;1.26883136279851;1.28987740753441;1.30425921063558;1.31501702719384;1.33958911717804;1.35563573272869;1.36390611960891;1.37144717590264;1.38188025796603;1.38815361023845;1.39426591984999;1.39781187894014;1.39515467184997;1.40442860569194;1.4080451040599;1.40737803002975
"6 KRA";0.172642254132848;0.111709693850667;0.0926373070956747;0.130221585974491;0.241406541795932;0.240726523368338;0.225951052151207;0.377119250162534;0.341404907049228;0.432698307826633;0.503366572290955;0.621051223432293;0.608280048879893;0.64496540223215;0.764007322182713;0.780055955103921;0.918902320384515;0.965720236951598;0.947476242690106;0.93316114949393;0.890186622872499;0.882972451483352;0.968130135727598;0.908771982608569;0.901528379436869;0.872331455777327;0.873796102312979;0.885298822646427;0.867068388050378;0.87152548686894;0.862435001535947;0.85309979415271;0.849831495968946;0.843305026586127;0.829338423334379;0.813787382692597;0.824352885489646;0.798175574409903;0.812005665061867;0.822779375175873;0.827739643627445;0.835544878416646;0.82929512819259;0.825503540639508;0.809798578812545;0.809553177147747;0.798816690068158;0.793756227828609;0.793845959547409;0.7939461916765;0.795809400565715;0.785647724891752;0.79412478164964;0.788355697879923;0.780988945840833;0.772822294958106;0.766102811915473;0.759431752188447;0.745900027828441;0.747573534405447;0.724974735897679;0.71802798684342;0.716799112032415;0.706535597822907;0.701577265439125;0.693737277253862;0.68367539477552;0.678955585546437;0.663907741231352;0.659076655591813;0.64496540223215;0.637589203082684;0.62945326929609;0.619529390946191;0.608643727940081;0.598850658210093;0.59410781402944;0.589992750844223;0.587314710627571;0.586697753210911;0.580773942660633;0.579826724127416;0.58035309430107;0.581541230661223;0.585361959611163;0.582035090785287;0.583162184584521;0.582886809736034;0.592200751174254;0.594386690846266;0.590458171261007;0.587873778020665;0.58602853828043;0.58475488566545;0.580425575740329;0.577131619238422;0.576156212812447;0.574936111341949;0.573206627245215;0.575888386690708;0.575988703437722;0.572825330758346;0.568250729061748;0.564970910129945;0.563758916275583;0.564746400372155;0.562785836160523;0.565526625578064;0.566772355590821
"7 WAR";1.18105255338904;1.11157887377792;1.26747103290531;1.41726306406685;1.14101687361314;1.64681975754247;1.64611290727311;1.7925194781933;1.68532218292594;1.64824106343218;1.66011403086813;1.67107769511776;1.69558164480829;1.69164705350063;1.62469233732249;1.8235566930689;1.7563394422979;1.6809720219205;1.66953466187174;1.69938282760367;1.81490548625409;1.69350570210887;1.57951524933244;1.67133339384469;1.71093308006257;1.82349054982601;1.78962489542941;1.81067881144016;1.78675613905959;1.81674656229533;1.76733043960375;1.7255770716567;1.68792094088517;1.67528721029538;1.65586557991608;1.59898523046009;1.575460089592;1.53068099307155;1.50978380565476;1.49021787810931;1.47140632839086;1.46936233810492;1.44383592838805;1.45545127296658;1.44032794080201;1.42241152328413;1.39417262658761;1.36767294492654;1.34956467304541;1.3260814443608;1.31255537639034;1.29811400360809;1.29187110916976;1.29383036834139;1.28671427560991;1.27774415620244;1.25961514838798;1.25207117775732;1.23658284725853;1.21896431141256;1.18762950481194;1.18640786667612;1.16757435187702;1.15259819521369;1.14475726538843;1.13598297087455;1.12695042667817;1.11815626356359;1.10655235432286;1.10054090273599;1.08509955213151;1.08257036742527;1.07086980390433;1.0756102083618;1.07842212581564;1.07094151697099;1.07460620092349;1.06925141342408;1.06601366561621;1.06662583170598;1.06363625758854;1.06264244161197;1.05811291555904;1.05700904498841;1.05812496876677;1.0474924908087;1.03442656559578;1.03092170106291;1.03652653731714;1.0476573019723;1.0478895373209;1.050962851384;1.05114450271657;1.05027078513184;1.0496307323475;1.04393363046603;1.0398861442629;1.03978014646767;1.04708848220318;1.04850711577506;1.04695280117231;1.04459715677954;1.04367871416291;1.04072307497031;1.03772525434509;1.03841676731671;1.03721111688763;1.03781038324;1.03591048988257
"8 OPO";0.609373981976237;1.18290243560093;0.980943483181259;1.14910522315519;1.1929270325128;1.13292064254737;1.02540551074755;0.855716655541098;0.67784296871514;0.827283032493055;0.969124886998352;0.894742665415609;0.843480478388461;0.824829425972757;0.782915959539765;0.737506408504247;0.908163805396843;1.03828065706424;1.20185756341264;1.16621572412694;1.05191527731088;1.05869942920095;0.987438005552666;0.912277439358571;0.911781519166439;0.879731815498504;0.88893878977506;0.894871105058949;0.871528654887566;0.898812237815752;0.904197005630207;0.986320842148496;1.14511527446368;1.15668507291215;1.16583270425175;1.21933214512153;1.24701933380989;1.19932094696039;1.22834138306419;1.21999272747403;1.2856922553216;1.26669985110396;1.27784491426882;1.2595251308406;1.26031537200279;1.26394779128838;1.24762967329324;1.24414056566663;1.22764600733978;1.21856193816236;1.22102633822143;1.23672963722093;1.24642304625302;1.22526035765298;1.22669578030594;1.2260487704458;1.2408002897777;1.22591294655095;1.22964461012261;1.21710544648084;1.18416382445406;1.17134984815872;1.1622840828087;1.1743658908786;1.17648735254837;1.17875234879173;1.17143862446314;1.15650110437969;1.15539307663347;1.14819237455927;1.14119073793969;1.13197324869041;1.11844514392031;1.1101092809574;1.09329511083087;1.08999055812171;1.09432598805056;1.09422051177111;1.09367790944708;1.08530092742201;1.08321387239216;1.09580956565481;1.11379323220921;1.11058772964161;1.10742970526718;1.1122868274752;1.10032673778586;1.08939167335778;1.08817413958298;1.09592806250871;1.08625939466022;1.08463410566451;1.09313241025976;1.08603027314252;1.08239542328746;1.07846304089945;1.06986174766785;1.06719035185018;1.0680363039113;1.06269651521076;1.0699668335525;1.06015670523099;1.0565674099475;1.05825760877968;1.07679893676435;1.07123180629244;1.08612237491083;1.10225474526087;1.10370117657876
"9 RZE";1.62943797771041;1.23006592435001;1.16577676454078;1.12663997315977;0.835432183487115;0.883568480871136;0.863186690741773;0.805088740759988;0.839130044701052;0.822453662800031;0.719832038345963;0.737687716271563;0.734722748767419;0.779296424122368;0.788286144948581;0.777867396449772;0.732371048046183;0.698443945633296;0.737445944871102;0.730437714146044;0.675796117793616;0.662667027314939;0.672452197146143;0.65137776718716;0.633896071129235;0.621378741809499;0.620082105682607;0.623940542694062;0.629275644340034;0.620591738441798;0.593699598892985;0.581774234684543;0.58252407703147;0.574602600846954;0.55813407185878;0.539110635884773;0.533103904283067;0.511165047659532;0.500392057386718;0.49427339329996;0.489605473112509;0.478723449511127;0.476776532131391;0.497350760327204;0.485643607795787;0.478493402933292;0.479325332865523;0.467515882590787;0.458014449812346;0.460988062533197;0.457041939309933;0.458208765918126;0.464606244287179;0.455247557131304;0.44562986877672;0.439028549904934;0.43164622294203;0.423785070565618;0.415764435853205;0.407359494427601;0.39394172908982;0.386567630917112;0.379582355223176;0.371132675838004;0.367214891279135;0.361823708117915;0.355002268723223;0.347944972506001;0.339641680108457;0.33371886490519;0.326883420275027;0.322897658219767;0.318263956751215;0.313246248616204;0.306959184093869;0.301508749558091;0.298429248864281;0.295685713523023;0.290467435191716;0.291560567908587;0.28697685123136;0.284201969562552;0.281567726987652;0.277511623657941;0.273559959439384;0.268188518602309;0.263734344715781;0.261218601166882;0.26457978478926;0.265118579557103;0.26301565060409;0.264572076411617;0.270441013352466;0.279183394494117;0.283894026183639;0.287782686499322;0.294129656771611;0.298190932469831;0.302273004090055;0.303285232710817;0.307620856177102;0.309241930660131;0.310795391341461;0.314596424059377;0.318302187643915;0.323091656886079;0.3295931664961;0.335049286850373;0.338916622946634
"10 BIA";0;0;0;0;0.135535709719124;0.112628265822934;0.0906131090473465;0.226854095700095;0.299498384772597;0.303668615446646;0.299738945724221;0.24906005834927;0.304923045697935;0.341118586889478;0.392047056519918;0.508341757235053;0.481516112808588;0.560892055418256;0.498705669022815;0.589091728920269;0.641032344473195;0.700087439968881;0.723555049512964;0.709942659006808;0.790415007212594;0.838274100640031;0.916005707584718;0.964241848007149;1.01552743092757;0.981642014679587;1.06429659826204;1.09820682970337;1.13729519977647;1.09293993679047;1.1255983345889;1.11540448180594;1.16073852641403;1.11338573253979;1.09777096877039;1.0846179070486;1.06051595510629;1.04416731527439;1.01628623421422;1.02169352629812;0.999575859178542;0.986317988950356;0.965935891565275;0.933520388882131;0.931643519234369;0.915432367407655;0.901733579984291;0.883125381098798;0.863386860370154;0.841280778634098;0.825680486897022;0.811157406489935;0.797370589045314;0.782848854884798;0.767962245691254;0.752437402449517;0.729548257409931;0.715892023315872;0.701002725973619;0.687173722663876;0.678101749661301;0.669872827093473;0.65893768442803;0.660780553435996;0.656356241321067;0.64319066257653;0.637649594990356;0.632789266612382;0.628068709713086;0.625560998189502;0.623149865091371;0.624896162598022;0.619462864313249;0.614698576382036;0.609278209090331;0.605014180663738;0.606089271942439;0.606781494226626;0.612558411454974;0.619050971047524;0.62030165818585;0.611479900929899;0.623526490864543;0.616844104471728;0.625296838064394;0.631598159027153;0.63376503629482;0.64445004149774;0.644598852313972;0.661398038232135;0.666562801127382;0.664994089649815;0.672784559012106;0.679618768324642;0.686268353202916;0.694720526428474;0.702965441042906;0.719308213369963;0.722502167793181;0.728777580847821;0.735841172783287;0.743914880727878;0.745412289761997;0.758936136589136;0.769349441135286
